©D	名称	触发类别	触发条件	加成类型	属性提升额度	机缘描述
670	终极铁拳	1	62#216#261#1261#2261	4	20	与弗兰奇齐上阵,意志提升20%。
671	终极战舰	1	186	1	13	与托姆齐上阵,血量提升13%。
672	重创路飞	1	41#210#253#1253#2253	2	23	与路飞齐上阵,攻击提升23%。
673	重获新生	1	25#265#1265#2265	1	21	与汉库克齐上阵,血量提升21%。
674	重获新生	1	42	1	21	与费雪·泰格齐上阵,血量提升21%。
675	重新复活	1	92	4	25	与霍古巴克齐上阵,意志提升25%。
676	重型武器	3	24	2	23	装备巨锤,攻击提升23%。
677	追求者	1	155	3	23	与赞高齐上阵,防御提升23%。
678	追杀公主	1	160#291#292#1292#2292	1	16	与薇薇公主齐上阵,血量提升16%。
679	坠入爱河	1	41#210#253#1253#2253	2	27	与路飞齐上阵,攻击提升27%。
680	航海徽章	3	437#438#439#440#441#442#443#444#445#446	3	35	装备三相指针，防御提升35%
681	自我牺牲	1	22	4	25	与麦哲伦齐上阵,意志提升25%。
682	最高上司	1	139	4	25	与斯潘达姆齐上阵,意志提升25%。
683	最强防御	1	58	3	27	与战桃丸齐上阵,防御提升27%。
684	最强之刃	3	1#107#217#218#219#262#263#264#265#266	2	27	装备黑刀夜,攻击提升27%。
685	船坞工头	1	143	2	18	与巴里齐上阵,攻击提升18%。
686	船坞老板	1	174	3	19	与冰山齐上阵,防御提升19%。
687	视作恩师	1	174	2	16	与冰山齐上阵,攻击提升16%。
688	监狱战友	1	38#287#1287	2	18	与伊万科夫齐上阵,攻击提升18%。
689	忠诚下属	1	6#240#1240_7#241#1241	2	28	与香克斯、雷利齐上阵,攻击提升28%。
690	意志传承	1	41#210#253#1253#2253	3	20	与路飞齐上阵,防御提升20%。
691	临终托付	1	3#231#1231_19#251#1251#2251	3	29	与卡普、艾斯齐上阵,防御提升29%。
692	海王之语	1	203#229#1229	2	25	与白星齐上阵,攻击提升25%。
693	海贼王者	3	92#150#232#233#234#272#273#274#275#276	2	32	装备霸海,攻击提升32%。
694	王者战衣	3	95#153#205#206#207#281#306#307#308#309	3	36	装备王者战衣,防御提升36%。
695	海之森	1	41#210#253#1253#2253	3	20	与路飞齐上阵,防御提升20%。
696	海王之语	1	201#228#1228	3	29	与罗杰齐上阵,防御提升29%。
697	巨型阴影	1	14#234#1234	2	27	与夏洛特玲玲齐上阵,攻击提升27%。
698	庇护者	1	2#230#1230	2	27	与白胡子齐上阵,攻击提升27%。
699	海神羽衣	3	94#152#202#203#204#280#302#303#304#305	3	29	装备海神羽织,防御提升29%。
700	海洋之心	3	96#154#178#179#180#287#330#331#332#333	2	25	装备海洋之心,攻击提升25%。
701	掌上明珠	1	203#229#1229	2	24	与白星齐上阵,攻击提升29%。
702	龙宫护卫	1	24#264#1264	2	30	与甚平齐上阵,攻击提升30%。
703	揭秘历史	1	60#217#258#1258	3	27	与妮可罗宾齐上阵,防御提升27%。
704	海洋领袖	1	4#236#1236	1	22	与战国齐上阵,血量提升22%。
705	龙宫国王	3	93#151#235#236#237#278#294#295#296#297	2	27	装备海皇三叉戟,攻击提升27%。
706	海洋之心	3	96#154#178#179#180#287#330#331#332#333	1	25	装备海洋之心,血量提升25%。
707	纠缠不休	1	203#229#1229	3	24	与白星齐上阵,防御提升24%。
708	狼狈为奸	1	207	4	25	与霍迪·琼斯齐上阵,意志提升25%。
709	百发百中	1	64#215#262#1262	2	22	与乌索普齐上阵,攻击提升22%。
710	美梦破灭	1	41#210#253#1253#2253	2	24	与路飞齐上阵,攻击提升24%。
711	飞翔荷兰人	3	72#143	1	18	装备飞翔之翼,血量提升18%。
712	船长帽	3	50#136	3	20	装备船长帽,防御提升20%。
713	狼狈为奸	1	208	4	26	与范戴肯九世齐上阵,意志提升26%。
714	弑母之仇	1	203#229#1229	2	27	与白星齐上阵,攻击提升27%。
715	篡夺皇位	1	206#243	2	25	与尼普顿齐上阵,攻击提升25%。
716	不顾劝阻	1	24#264#1264	1	20	与甚平齐上阵,血量提升20%。
717	深水对决	1	53#212#256#1256#2256	2	18	与索隆齐上阵,攻击提升18%。
718	夺取神兵	3	93#151#235#236#237#278#294#295#296#297	2	25	装备海皇三叉戟,攻击提升25%。
719	龙宫皇族	1	203#229#1229_206#243	2	20	与白星、尼普顿齐上阵,攻击提升20%。
720	与人共存	1	42	1	25	与费雪·泰格齐上阵,血量提升25%。
721	遭遇暗杀	1	207	2	20	与霍迪·琼斯齐上阵,攻击提升20%。
722	寄托理想	1	24#264#1264	4	25	与甚平齐上阵,意志提升25%。
723	贵族披风	3	47#133	3	18	装备贵族披风,防御提升18%。
724	巨型阴影	1	203#229#1229	3	21	与白星齐上阵,防御提升21%。
725	命运流火	3	66#137#163#164#165#285#322#323#324#325	3	26	装备命运流火,防御提升26%。
726	阴谋颠覆	1	15#247#1247#2247	2	27	与多弗朗明哥齐上阵,攻击提升27%。
727	不败剑客	1	8#239#1239#2239	2	25	与鹰眼齐上阵,攻击提升25%。
728	指引者	1	41#210#253#1253#2253	3	23	与路飞齐上阵,防御提升23%。
729	竞技场英雄	1	222#255#1300	3	25	与萨博齐上阵,防御提升25%。
730	十字剑	3	103#158#238#239#240#279#298#299#300#301	2	21	装备十字剑,攻击提升21%。
731	命运弄人	3	66#137#163#164#165#285#322#323#324#325	3	23	装备命运流火,防御提升23%。
732	A·S·L	1	41#210#253#1253#2253_19#251#1251#2251	2	30	与艾斯、路飞齐上阵,攻击提升30%。
733	二把手	1	5#233#1233	2	28	与龙齐上阵,攻击提升28%。
734	忤逆长辈	1	3#231#1231	2	25	与卡普齐上阵,攻击提升25%。
735	历史真相	1	60#217#258#1258	3	29	与妮可罗宾齐上阵,防御提升29%。
736	仇恨的伤疤	1	7#241#1241	3	25	与香克斯齐上阵,防御提升25%。
737	护目镜	3	101#156#211#212#213#283#314#315#316#317	3	29	装备护目镜,防御提升29%。
738	赶尽杀绝	1	21#297#1297	3	33	与罗齐上阵,防御提升33%。
739	联手	1	15#247#1247#2247	3	30	与多弗朗明哥齐上阵,防御提升30%。
740	不同的正义	1	9#237#1237#2237	2	28	与赤犬齐上阵,攻击提升28%。
741	海军砥柱	1	4#236#1236	3	35	与战国齐上阵,防御提升35%。
742	剑与剑	1	53#212#256#1256#2256	2	29	与索隆齐上阵,攻击提升29%。
743	七星剑	3	4#110#226#227#228#267#268#269#270#271	2	35	装备七星剑,攻击提升35%。
744	得力手下	1	3#231#1231	3	29	与卡普齐上阵,防御提升29%。
745	前元帅	1	4#236#1236	3	30	与战国齐上阵,防御提升30%。
746	不灭传说	1	201#228#1228	2	28	与罗杰齐上阵,攻击提升28%。
747	时代遗老	1	2#230#1230	2	28	与白胡子齐上阵,攻击提升28%。
748	反叛军	1	5#233#1233	1	28	与龙齐上阵,血量提升28%。
749	英雄勋章	3	102#157#181#182#183#288#334#335#336#337	3	33	装备英雄勋章,防御提升33%。
750	仇人之孙	1	41#210#253#1253#2253	2	26	与路飞齐上阵,攻击提升26%。
751	共同敌人	1	223#268	2	25	与卡文迪许齐上阵,攻击提升25%。
752	贪财者	1	65#211#259#1259#2259	4	20	与娜美齐上阵,意志提升20%。
753	开门开门	1	95	4	18	与布鲁诺齐上阵,意志提升18%。
754	坠入陷阱	1	220#245	2	28	与居鲁士齐上阵,攻击提升28%。
755	十字战甲	3	38#124#187#188#189#284#318#319#320#321	2	25	装备十字战甲,攻击提升25%。
756	恨之入骨	1	41#210#253#1253#2253	2	23	与路飞齐上阵,攻击提升23%。
757	共同敌人	1	204#270	2	29	与青椒齐上阵,攻击提升29%。
758	同为新人	1	205#272#1272	2	26	与巴托洛米奥齐上阵,攻击提升26%。
759	超新星剑客	1	29	3	23	与德雷克齐上阵,防御提升23%。
760	白马王子	1	59#213#257#1257#2257	1	20	与香吉士齐上阵,血量提升20%。
761	花剑美男	3	4#110#226#227#228#267#268#269#270#271	2	26	装备七星剑,攻击提升26%。
762	顶礼膜拜	1	41#210#253#1253#2253	3	24	与路飞齐上阵,防御提升24%。
763	船长最高	1	53#212#256#1256#2256	2	19	与索隆齐上阵,攻击提升19%。
764	同为新人	1	223#268	3	25	与卡文迪许齐上阵,防御提升25%。
765	残忍海贼	1	20#252#1252	2	26	与基德齐上阵,攻击提升26%。
766	秒杀中将	1	73#298#299#1299#2298	1	21	与斯摩格齐上阵,血量提升21%。
767	超强防御	2	19#1019	3	28	装备金刚不坏技能,防御提升28%。
768	少主	1	15#247#1247#2247	2	23	与多弗朗明哥齐上阵,攻击提升23%。
769	我也会飞	1	126	1	19	与隼之贝尔齐上阵,血量提升19%。
770	钢铁怪物	1	62#216#261#1261#2261	3	20	与弗兰奇齐上阵,防御提升20%。
771	奉命来救	1	76	4	23	与凯撒齐上阵,意志提升23%。
772	断头台	3	24	2	17	装备巨锤,攻击提升17%。
773	少主	1	15#247#1247#2247	2	23	与多弗朗明哥齐上阵,攻击提升23%。
774	最佳拍档	1	225	1	21	与巴法罗齐上阵,血量提升21%。
775	迎头痛击	1	65#211#259#1259#2259	4	24	与娜美齐上阵,意志提升24%。
776	艺术人生	1	224	3	18	与维尔戈齐上阵,防御提升18%。
777	黄金戒指	3	77#148	1	20	装备金戒指,血量提升20%。
778	最高干部	1	224#274#1274	2	28	与维尔戈齐上阵,攻击提升28%。
779	夺取果实	1	222#255#1300	3	29	与萨博齐上阵,防御提升29%。
780	旧相识	1	21#297#1297	2	30	与罗齐上阵,攻击提升30%。
781	花园对决	1	53#212#256#1256#2256	3	28	与索隆齐上阵,防御提升28%。
782	独脚士兵	1	220#245	2	30	与居鲁士齐上阵,攻击提升30%。
783	无敌大刀	3	92#150#232#233#234#272#273#274#275#276	3	27	装备霸海，防御提升27%。
784	最高干部	1	227#273	4	27	与迪亚曼蒂齐上阵,意志提升27%。
785	技高一筹	1	73#298#299#1299#2298	3	28	与斯摩格齐上阵,防御提升28%。
786	叫我先生	1	21#297#1297	3	28	与罗齐上阵,防御提升28%。
787	实力强悍	1	59#213#257#1257#2257	4	28	与香吉士齐上阵,意志提升28%。
788	最高领袖	1	15#247#1247#2247	4	25	与多弗朗明哥齐上阵,意志提升25%。
789	超强防御	2	19#1019	3	25	装备金刚不坏技能,防御提升25%。
790	正义大氅	3	46#132	3	27	装备正义大氅,防御提升27%。
791	天生无敌	2	79#1079	2	28	装备暗穴道技能，攻击提升28%。
792	革命舞曲	2	18#1018	3	25	装备革命舞曲，防御提升25%。
793	天生强化	2	82#1080	1	21	装备皮毛强化，血量提升21%。
794	海贼王者	3	92#150#232#233#234#272#273#274#275#276	4	27	装备霸海，意志提升27%。
795	祝福铠甲	3	38#124#187#188#189#284#318#319#320#321	3	26	装备十字战甲，防御提升26%。
796	华丽挂饰	3	68#139#169#170#171#289#338#339#340#341	2	24	装备十字挂饰，攻击提升24%。
797	特邀海贼	2	79#1079	2	20	装备暗穴道技能，攻击提升20%。
798	特邀海贼	2	24#1024	2	20	装备降魔之相技能,攻击提升20%。
799	特邀海贼	2	23#1023	2	20	装备影法师技能，攻击提升20%。
800	特邀海贼	3	105#162#184#185#186#459	2	20	装备神恩，攻击提升20%。
801	特邀海贼	3	104#161#214#215#216#458	2	20	装备神域，攻击提升20%。
802	特邀海贼	3	97#160#244#245#246#457	2	20	装备神罚，攻击提升20%。
803	神射手	1	64#215#262#1262	4	35	与乌索普齐上阵，意志提升35%。
804	红发船长	1	7#241#1241	2	24	与香克斯齐上阵，攻击提升24%。
805	船长所托	1	41#210#253#1253#2253	4	30	与路飞齐上阵，意志提升30%。
806	敬佩的人	1	2#230#1230	2	32	与白胡子齐上阵，攻击提升32%。
807	命运流火	3	66#137#163#164#165#285#322#323#324#325	2	26	装备命运流火，攻击提升26%。
808	顶上战争	1	19#251#1251#2251	4	26	与艾斯齐上阵，意志提升26%。
809	剑客对决	1	8#239#1239#2239	2	25	与鹰眼齐上阵，攻击提升25%。
810	白胡子老爹	1	2#230#1230	2	22	与白胡子齐上阵，攻击提升22%。
811	剑客之名	1	53#212#256#1256#2256	4	36	与索隆齐上阵，意志提升36%。
812	拯救伙伴	1	19#251#1251#2251	2	20	与艾斯齐上阵，攻击提升20%。
813	最强之刃	3	1#107#217#218#219#262#263#264#265#266	2	26	装备黑刀夜，攻击提升26%。
814	信任伙伴	1	41#210#253#1253#2253	4	34	与路飞齐上阵，意志提升34%。
815	杀戮武器	1	31#254#1254	4	35	与基拉齐上阵，意志提升35%。
816	弱点掌控	1	60#217#258#1258	2	35	与罗宾齐上阵，攻击提升35%。
817	海军上级	1	4#236#1236	2	26	与战国齐上阵，攻击提升26%。
818	隐忍潜伏	1	62#216#261#1261#2261	4	31	与弗兰奇齐上阵，意志提升31%。
819	殊死之战	1	41#210#253#1253#2253	2	31	与路飞齐上阵，攻击提升21%。
820	杀戮兵器	3	92#150#232#233#234#272#273#274#275#276	2	35	装备霸海，攻击提升25%。
821	白胡子老爹	1	2#230#1230	3	25	与白胡子齐上阵，防御提升25%。
822	同为队长	1	19#251#1251#2251	3	30	与艾斯齐上阵，防御提升30%。
823	生死之敌	1	12#238#1238	2	35	与黑胡子齐上阵，攻击提升35%。
824	复活青炎	2	18#1018	3	30	装备复活青炎，防御提升30%。
825	幻兽果实	1	13#235#1235#2235	2	29	与凯多齐上阵，攻击提升29%。
826	联手突袭	1	34#280#1280	2	30	与钻石乔兹齐上阵，攻击提升30%。
827	白胡子老爹	1	2#230#1230	3	25	与白胡子齐上阵，防御提升25%。
828	强力队长	1	18#278#1278	3	30	与马尔科齐上阵，防御提升30%。
829	野蛮冲撞	1	26#266#1266#2266	1	36	与克洛克达尔齐上阵，血量提升35%。
830	抵御斩击	1	8#239#1239#2239	1	35	与鹰眼齐上阵，血量提升35%。
831	十字战甲	3	38#124#187#188#189#284#318#319#320#321	3	35	装备十字战甲，防御提升35%。
832	无死角	1	62#216#261#1261#2261	1	34	与弗兰奇齐上阵，血量提升34%。
833	讨厌的人	1	53#212#256#1256#2256	1	18	与索隆齐上阵，血量提升18%。
834	大胃王	1	41#210#253#1253#2253	2	30	与路飞齐上阵，攻击提升30%。
835	同为新人	1	20#252#1252	1	28	与与基德齐上阵，血量提升28%。
836	十字挂饰	3	68#139#169#170#171#289#338#339#340#341	2	35	装备十字挂饰，攻击提升35%。
837	可怕能力	1	28#284#1284	2	30	与霍金斯齐上阵，攻击提升30%。
838	超新星	1	21#297#1297_28#284#1284_29#286#1286_37#285#1285#2285_32#288#1288_20#252#1252	1	25	与罗，霍金斯，德雷克，阿普，贝基，基德齐上阵，血量提升25%。
839	稻草人	2	24#1024	2	22	装备降魔之相，攻击提升22%。
840	诡异眉毛	1	59#213#257#1257#2257	4	34	与香吉士齐上阵，意志提升34%。
841	海贼同盟	1	20#252#1252	2	30	与基德齐上阵，攻击提升30%。
842	贵族之风	3	95#153#205#206#207#281#306#307#308#309	4	25	装备王者战衣，意志提升25%。
843	超新星	1	21#297#1297_33#283#1283_29#286#1286_37#285#1285#2285_#288#1288#32_20#252#1252	2	25	与罗，波妮，德雷克，阿普，贝基，基德齐上阵，攻击提升25%。
844	同为新人	1	41#210#253#1253#2253	4	25	与路飞齐上阵，意志提升25%。
845	海贼同盟	1	20#252#1252	3	27	与基德齐上阵，防御提升27%。
846	王者战衣	3	95#153#205#206#207#281#306#307#308#309	3	29	装备王者战衣，防御提升29%。
847	联手抗敌	1	36#250#1250	3	30	与乌尔基齐上阵，防御提升30%。
848	超新星	1	21#297#1297_33#283#1283_29#286#1286_28#284#1284_32#288#1288_20#252#1252	4	26	与罗，波妮，德雷克，霍金斯，贝基，基德齐上阵，防御提升26%。
849	酒樽舞曲	2	8#108	4	25	装备酒樽舞曲，意志提升25%。
850	超新星	1	33#283#1283	4	24	与波妮齐上阵，意志提升24%。
851	刽子手	1	31#254#1254	2	30	与基拉齐上阵，攻击提升30%。
852	以一敌二	1	36#250#1250	3	30	与乌尔基齐上阵，防御提升30%。
853	动物果实	1	63#214#260#1260	1	36	与乔巴齐上阵，血量提升36%。
854	超新星	1	21#297#1297_33#283#1283_28#284#1284_37#285#1285#2285_32#288#1288_20#252#1252	2	30	与罗，波妮，霍金斯，阿普，贝基，基德齐上阵，攻击提升30%。
855	昔日海军	1	10#242#1242	1	34	与青雉齐上阵，血量提升34%。
856	剑客	3	1#107#217#218#219#262#263#264#265#266	2	35	装备黑刀夜，攻击提升35%。
857	革命首领	1	5#233#1233	3	26	与龙齐上阵，防御提升26%。
858	曾经的朋友	1	16#263	1	34	与熊齐上阵，血量提升34%。
859	男儿本色	1	59#213#257#1257#2257	1	36	与香吉士齐上阵，血量提升36%。
860	参谋长	1	222#255#1300	3	31	与萨博齐上阵，防御提升31%。
861	冲出监狱	1	41#210#253#1253#2253	3	31	与路飞齐上阵，防御提升31%。
862	手持弱点	1	26#266#1266#2266	1	20	与克洛克达尔齐上阵，血量提升20%。
863	敬佩的人	1	2#230#1230	1	38	与白胡子齐上阵，血量提升38%。
864	残忍手段	1	20#252#1252	1	20	与基德齐上阵，血量提升20%。
865	火药研究	1	64#215#262#1262	2	20	与乌索普齐上阵，攻击提升20%。
866	超新星	1	21#297#1297_33#283#1283_28#284#1284_37#285#1285#2285_29#286#1286_20#252#1252	4	26	与罗，波妮，霍金斯，阿普，德雷克，基德齐上阵，意志提升26%。
867	高傲海贼	1	33#283#1283	1	20	与波妮齐上阵，血量提升20%。
868	新老大	1	14#234#1234	4	42	与夏洛特玲玲齐上阵，意志提升42%。
869	见习海贼	1	7#241#1241	2	32	与香克斯齐上阵，攻击提升32%。
870	追踪复仇	1	41#210#253#1253#2253	3	32	与路飞齐上阵，防御提升32%。
871	躲避斩击	1	8#239#1239#2239	3	33	与鹰眼齐上阵，防御提升33%。
872	罗杰船员	1	201#228#1228	2	34	与罗杰齐上阵，攻击提升34%。
873	低调英雄 	1	21#297#1297	3	35	与罗齐上阵，防御提升35%。
874	新七武海	3	25#265#1265#2265_8#239#1239#2239_16#263#1302	2	28	与汉库克、熊、鹰眼齐上阵，攻击提升28%
875	王国仇敌	1	26#266#1266#2266	1	36	与克洛克达尔齐上阵，血量提升36%。
876	伙伴约定	1	41#210#253#1253#2253	2	25	与路飞齐上阵，攻击提升25%。
877	可爱宠物	1	63#214#260#1260	1	34	与乔巴齐上阵，血量提升34%。
878	援助之手	1	65#211#259#1259#2259	2	30	与娜美齐上阵，攻击提升30%。
879	貌美如花 	1	59#213#257#1257#2257	1	25	与香吉士上阵，血量提升25%。
880	勇敢的心	3	102#157#181#182#183#288#334#335#336#337	2	30	装备英雄勋章，攻击提升30%。
881	父亲的守护	1	220#245	3	27	与居鲁士齐上阵，防御提升27%。
882	性感战甲	3	94#152#202#203#204#280#302#303#304#305	3	35	装备海神羽织，防御提升35%。
883	弑母之仇	1	227#274#1274	4	26	与迪亚曼迪齐上阵，意志提升26%。
884	背水剑舞	1	223#268	4	25	与卡文迪许上阵，防御提升25%。
885	亡国公主 	1	15#247#1247#2247	4	24	与多弗朗明哥上阵，意志提升24%。
886	救国英雄	1	41#210#253#1253#2253	3	35	与路飞齐上阵，防御提升35%。
887	传送攻击	1	16#263	1	28	与熊齐上阵，血量提升28%。
888	悉心照料	1	53#212#256#1256#2256	3	30	与索隆齐上阵，防御提升30%。
889	僵尸指挥官	1	27#267#1301	1	35	与莫利亚齐上阵，血量提升35%。
890	唯一克星	1	64#215#262#1262	1	28	与乌索普齐上阵，血量提升28%。
891	命运相遇 	3	66#137#163#164#165#285#322#323#324#325	3	30	装备命运流火，防御提升30%。
892	古灵精怪	1	65#211#259#1259#2259	3	34	与娜美齐上阵，防御提升34%。
893	海贼同盟	1	41#210#253#1253#2253	3	35	与路飞齐上阵，防御提升35%。
894	最终敌人	1	13#235#1235#2235	1	26	与凯多齐上阵，血量提升26%。
895	同为新星	1	20#252#1252	3	27	与基德上阵，防御提升27%。
896	海贼船医	1	63#214#260#1260	1	33	与乔巴齐上阵，血量提升33%。
897	血海深仇 	1	15#247#1247#2247	1	38	与多弗朗明哥上阵，血量提升38%。
898	D的意志	3	95#153#205#206#207#281#306#307#308#309	3	27	装备王者战衣，防御提升27%。
899	危在旦夕	1	15#247#1247#2247	3	25	与多弗朗明哥上阵，血量提升37%。
900	旧相识	1	10#242#1242	1	38	与青雉齐上阵，血量提升38%。
901	持续追捕	1	41#210#253#1253#2253	3	26	与路飞齐上阵，防御提升27%。
902	掌控心脏	1	21#297#1297	3	28	与罗齐上阵，防御提升28%。
903	烟雾捕捉 	1	90#289#1289	4	26	与巴基齐上阵，意志提升26%。
904	王者战衣	3	95#153#205#206#207#281#306#307#308#309	3	29	装备王者战衣，防御提升29%。
905	同事	1	39#277#1277	3	29	与罗布·路奇齐上阵,防御提升29%。
906	克星	1	59#213#257#1257#2257	2	28	与香吉士齐上阵,攻击提升28%。
907	惨败之人	1	65#211#259#1259#2259	2	30	与娜美齐上阵，攻击提升30%。
908	最高领导	1	4#236#1236	3	26	与战国齐上阵,防御提升26%。
909	善用攻击	2	4#104	2	29	装备恶魔风脚技能,攻击提升29%。
910	恶女首饰	3	67#138#166#167#168#286#326#327#328#329	3	29	装备死亡诱惑,防御提升29%。
911	飞翔之翼	3	66#137#163#164#165#285#322#323#324#325	4	29	装备命运流火,意志提升29%。
912	似曾相识	1	53#212#256#1256#2256	4	28	与索隆齐上阵,意志提升28%。
913	猎人部队	1	73#298#299#1299#2298	2	29	与斯摩格齐上阵,攻击提升29%。
914	全军覆没	1	60#217#258#1258	2	30	与妮可罗宾齐上阵,攻击提升30%。
915	海军之花	1	88#304#404	4	28	与希娜齐上阵,意志提升28%。
916	剑客之路	3	1#107#217#218#219#262#263#264#265#266	2	35	装备黑刀夜,攻击提升35%。
917	青梅竹马	1	64#215#262#1262	4	28	与乌索普齐上阵,意志提升28%。
918	海贼剑士	1	53#212#256#1256#2256	2	28	与索隆齐上阵,攻击提升28%。
919	美女盗贼	1	65#211#259#1259#2259	4	29	与娜美齐上阵,意志提升29%。
920	草帽船长	1	41#210#253#1253#2253	2	28	与路飞齐上阵,攻击提升28%。
921	不屈意志	2	8#108	4	30	装备酒樽舞曲，意志提升30%。
922	可爱动人	3	94#152#202#203#204#280#302#303#304#305	2	35	装备海神羽织，攻击增加35%
923	海军同事	1	73#298#299#1299#2298	2	29	与斯摩格齐上阵,攻击提升29%。
924	保护国家	1	160#291#292#1292#2292	4	28	与薇薇公主齐上阵,意志提升28%。
925	缉拿对象	1	41#210#253#1253#2253	4	28	与路飞齐上阵,意志提升28%。
926	海军元帅	1	4#236#1236	2	30	与战国齐上阵,攻击提升30%。
927	信任领导	1	9#237#1237#2237	2	29	与赤犬齐上阵,攻击提升29%。
928	海军勋章	3	102#157#181#182#183#288#334#335#336#337	4	31	装备英雄勋章,意志提升31%。
929	穷追不舍	1	41#210#253#1253#2253	2	28	与路飞齐上阵,攻击提升28%。
930	志同道合	1	90#289#1289	2	32	与巴基齐上阵,攻击提升32%。
931	缉拿对象	1	73#298#299#1299#2298	3	29	与斯摩格齐上阵,防御提升29%。
932	小镇偶遇	1	5#233#1233	2	30	与龙齐上阵,攻击提升30%。
933	美人美妆	3	94#152#202#203#204#280#302#303#304#305	3	35	装备海神羽织，防御增加35%
934	重获新生	2	18#1018	3	35	装备复活青炎技能，防御增加35%
935	偷袭	1	53#212#256#1256#2256	2	24	与索隆上阵，攻击增加24%
936	拯救毛皮族	1	41#210#253#1253#2253	2	28	与路飞齐上阵，攻击增加28%
937	镜世界	1	63#214#260#1260	4	25	与乔巴齐上阵，意志增加25%
938	一脚击败	1	307#407#1307#2307	4	28	与夏洛特·卡塔库栗齐上阵，意志增加28%
939	灵魂之国	1	14#234#1234	4	18	与夏洛特·玲玲齐上阵，意志增加18%
940	毛皮族体术	2	24#1024	2	30	装备降魔之相奥义，攻击增加30%
941	甜点三将星	1	309#409#1309_311#411#1311	2	25	与夏洛特·克力架、夏洛特·斯慕吉上阵，攻击增加25%
942	次子	1	14#234#1234	4	23	与夏洛特·玲玲上阵，意志增加23%
943	十亿的力量	1	41#210#253#1253#2253	2	28	路飞上阵，攻击增加28%
944	预见未来	1	32#288#1288	4	28	与贝基上阵，意志增加28%
945	一击	1	306#406#1306	1	26	与加洛特上阵，血量增加26%
946	三叉戟	3	427#428#429#430#431#432#433#434#435#436	2	30	装备三叉戟「土龙」，攻击增加30%
947	吸收毒素	1	41#210#253#1253#2253	1	27	与路飞齐上阵，血量增加27%
948	弟弟	1	59#213#257#1257#2257	3	28	与香吉士齐上阵，防御增加28%
949	天上之火	1	14#234#1234	1	25	与夏洛特·玲玲齐上阵，血量增加25%
950	剧毒粉	1	309#409#1309	1	30	与夏洛特·斯慕吉齐上阵，血量增加30%
951	解救娜美	1	65#211#259#1259#2259	3	22	与娜美齐上阵，防御增加22%
952	战斗服	3	397#398#399#400#401#402#403#404#405#406	3	24	装备战斗服,防御增加35%
953	甜点三将星	1	307#407#1307#2307_311#411#1311	1	27	与夏洛特·克力架、夏洛特·卡塔库栗上阵，血量增加27%
954	果汁大臣	1	14#234#1234	1	26	与夏洛特·玲玲上阵，血量增加26%
955	追捕	1	24#264#1264	4	18	与甚平上阵，意志增加18%
956	历史正文石碑	1	61#218#271#1271#2271	2	25	与布鲁克上阵，攻击增加25%
957	剧毒粉	1	308#408#1308#2308	2	22	与文斯莫克·蕾玖上阵，攻击增加22%
958	剑士	3	4#110#226#227#228#267#268#269#270#271	2	33	装备七星剑，攻击增加33%
959	死对头	1	201#228#1228	3	30	与哥尔·D·罗杰齐上阵,防御增加30%
960	独战海军	1	4#236#1236_3#231#1231	2	27	与战国、卡普齐上阵,攻击增加27%
961	东海危机	1	41#210#253#1253#2253	3	28	与路飞齐上阵,防御增加28%
962	感知气候	1	65#211#259#1259#2259	3	27	与娜美齐上阵,防御增加27%
963	传说海贼	1	2#230#1230	2	33	与白胡子齐上阵,攻击增加33%
964	命运流火	3	66#137#163#164#165#285#322#323#324#325	2	26	装备命运流火,攻击增加26%
965	战斗服	3	397#398#399#400#401#402#403#404#405#406	3	35	装备战斗服,防御增加35%
966	雷鸣龙牙棒	3	377#378#379#380#381#382#383#384#385#386	2	35	装备龙牙棒,攻击增加35%
967	最强之刃	3	387#388#389#390#391#392#393#394#395#396	2	35	装备阎魔,攻击增加35%
968	甜点三将星	1	307#407#1307#2307_309#409#1309	3	25	与夏洛特·斯慕吉、夏洛特·卡塔库栗上阵，防御增加25%
969	迷惑森林	1	41#210#253#1253#2253_65#211#259#1259#2259	4	22	与娜美、路飞齐上阵，意志增加22%
970	饼干大臣	1	14#234#1234	3	28	与夏洛特·玲玲齐上阵，防御增加28%
971	击溃	1	36#250#1250	2	30	与乌尔基齐上阵，攻击提升30%
972	饼干盔甲	3	38#124#187#188#189#284#318#319#320#321	3	25	装备十字战甲,防御提升25%
973	椒盐卷饼	3	103#158#238#239#240#279#298#299#300#301	2	21	装备十字剑,攻击提升21%
974	绝对正义	3	447#448#449#450#451#452#453#454#455#456	2	35	装备绝对正义,攻击提升35%。
975	杖刀	3	407#408#409#410#411#412#413#414#415#416	2	35	装备杖刀,攻击提升35%。
976	航海徽章	3	437#438#439#440#441#442#443#444#445#446	3	35	装备三相指针，防御提升35%
977	拿破仑	3	417#418#419#420#421#422#423#424#425#426	3	35	装备拿破仑，防御提升35%
978	科学战斗服	3	468#469#470#471#472#473#474#475#476#477#478#479#480#481#482	3	32	装备科学战斗服，防御提升32%
979	暗中偷袭	1	53#212#256#477#933	2	30	与索隆上阵，攻击增加30%
980	全族救星	1	41#210#253#449#514	2	32	与路飞齐上阵，攻击增加32%
981	镜之彼方	1	63#214#260#450	4	29	与乔巴齐上阵，意志增加29%
982	一招击败	1	291#455#508	4	28	与夏洛特·卡塔库栗齐上阵，意志增加28%
