ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径	orderId	套装
481	海·战斗服(典藏)	2	5	经上古海王结晶熔炼而成的战斗服，穿戴2件以上海王套装将触发海王套装效果。	1380	135	equipposter/poster_clothes_zhandoufu.png	equipposter/poster_clothes_zhandoufu.png	equiptex/tex_weapon_zhandoufu.png	387	3,4
482	冥·战斗服(典藏)	2	5	经上古冥王结晶熔炼而成的战斗服，穿戴2件以上冥王套装将触发冥王套装效果。	1380	135	equipposter/poster_clothes_zhandoufu.png	equipposter/poster_clothes_zhandoufu.png	equiptex/tex_weapon_zhandoufu.png	388	5,6
483	雷鸣狼牙棒	1	1	经海楼石制成的狼牙棒，表面被雷电覆盖，百兽凯多的武器，一击将五皇路飞秒杀。	200	15	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	0	none
484	进化雷鸣狼牙棒	1	5	经海楼石制成的狼牙棒，表面被雷电覆盖，百兽凯多的武器，一击将五皇路飞秒杀，进化后能力更强。	350	30	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	0	none
485	天·雷鸣狼牙棒	1	5	经上古天王结晶熔炼而成的雷鸣狼牙棒，穿戴2件以上天王套装将触发天王套装效果。	550	50	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equiptex/tex_weapon_leimingbagua.png	386	1,2
486	海·雷鸣狼牙棒	1	5	经上古海王结晶熔炼而成的雷鸣狼牙棒，穿戴2件以上海王套装将触发海王套装效果。	550	50	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equiptex/tex_weapon_leimingbagua.png	387	3,4
487	冥·雷鸣狼牙棒	1	5	经上古冥王结晶熔炼而成的雷鸣狼牙棒，穿戴2件以上冥王套装将触发冥王套装效果。	550	50	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equiptex/tex_weapon_leimingbagua.png	388	5,6
488	雷鸣狼牙棒(特典)	1	1	经海楼石制成的狼牙棒，表面被雷电覆盖，百兽凯多的武器，一击将五皇路飞秒杀。	400	30	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	0	none
489	进化狼牙棒(特典)	1	5	经海楼石制成的狼牙棒，表面被雷电覆盖，百兽凯多的武器，一击将五皇路飞秒杀，进化后能力更强。	700	60	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	0	none
490	天·雷鸣狼牙棒(特典)	1	5	经上古天王结晶熔炼而成的雷鸣狼牙棒，穿戴2件以上天王套装将触发天王套装效果。	1100	100	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equiptex/tex_weapon_leimingbagua.png	386	1,2
491	海·雷鸣狼牙棒(特典)	1	5	经上古海王结晶熔炼而成的雷鸣狼牙棒，穿戴2件以上海王套装将触发海王套装效果。	1100	100	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equiptex/tex_weapon_leimingbagua.png	387	3,4
492	冥·雷鸣狼牙棒(特典)	1	5	经上古冥王结晶熔炼而成的雷鸣狼牙棒，穿戴2件以上冥王套装将触发冥王套装效果。	1100	100	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equiptex/tex_weapon_leimingbagua.png	388	5,6
493	雷鸣狼牙棒(典藏)	1	1	经海楼石制成的狼牙棒，表面被雷电覆盖，百兽凯多的武器，一击将五皇路飞秒杀。	600	45	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	0	none
494	进化狼牙棒(典藏)	1	5	经海楼石制成的狼牙棒，表面被雷电覆盖，百兽凯多的武器，一击将五皇路飞秒杀，进化后能力更强。	1050	90	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	0	none
495	天·雷鸣狼牙棒(典藏)	1	5	经上古天王结晶熔炼而成的雷鸣狼牙棒，穿戴2件以上天王套装将触发天王套装效果。	1650	150	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equiptex/tex_weapon_leimingbagua.png	386	1,2
496	海·雷鸣狼牙棒(典藏)	1	5	经上古海王结晶熔炼而成的雷鸣狼牙棒，穿戴2件以上海王套装将触发海王套装效果。	1650	150	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equiptex/tex_weapon_leimingbagua.png	387	3,4
497	冥·雷鸣狼牙棒(典藏)	1	5	经上古冥王结晶熔炼而成的雷鸣狼牙棒，穿戴2件以上冥王套装将触发冥王套装效果。	1650	150	equipposter/poster_weapon_leimingbagua.png	equipposter/poster_weapon_leimingbagua.png	equiptex/tex_weapon_leimingbagua.png	388	5,6
498	狗头帽(特典)	2	1	由海王皮制成，海军大将和中将的标志性装扮，海蕴含着神秘的力量，海军最高实力的象征。	210	18.4	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	134	none
499	进化狗头帽(特典)	2	5	由海王皮制成，海军大将和中将的标志性装扮，海蕴含着神秘的力量，海军最高实力的象征。	510	48.4	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	134	none
500	狗头帽(典藏)	2	1	由海王皮制成，海军大将和中将的标志性装扮，海蕴含着神秘的力量，海军最高实力的象征。	315	27.6	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	134	none
501	进化狗头帽(典藏)	2	5	由海王皮制成，海军大将和中将的标志性装扮，海蕴含着神秘的力量，海军最高实力的象征。	765	72.6	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	134	none
502	天·狗头帽(特典)	2	5	经上古天王结晶熔炼而成的狗头帽，穿戴2件以上天王套装将触发天王套装效果。	910	88.4	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	39	1,2
503	海·狗头帽(特典)	2	5	经上古海王结晶熔炼而成的狗头帽，穿戴2件以上海王套装将触发海王套装效果。	910	88.4	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	38	3,4
504	冥·狗头帽(特典)	2	5	经上古冥王结晶熔炼而成的狗头帽，穿戴2件以上冥王套装将触发冥王套装效果。	910	88.4	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	37	5,6
505	天·狗头帽(典藏)	2	5	经上古天王结晶熔炼而成的狗头帽，穿戴2件以上天王套装将触发天王套装效果。	1365	132.6	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	39	1,2
506	海·狗头帽(典藏)	2	5	经上古海王结晶熔炼而成的狗头帽，穿戴2件以上海王套装将触发海王套装效果。	1365	132.6	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	38	3,4
507	冥·狗头帽(典藏)	2	5	经上古冥王结晶熔炼而成的狗头帽，穿戴2件以上冥王套装将触发冥王套装效果。	1365	132.6	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	37	5,6
508	黄金棍(特典)	1	1	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。	400	30	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	none
509	进化黄金棍(特典)	1	5	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。经过进化后能力更强。	700	60	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	none
510	黄金棍(典藏)	1	1	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。	600	45	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	none
511	进化黄金棍(典藏)	1	5	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。经过进化后能力更强。	1050	90	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	none
512	天·黄金棍(特典)	1	5	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。经过进化后能力更强。	1100	100	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	1,2
513	海·黄金棍(特典)	1	5	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。经过进化后能力更强。	1100	100	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	3,4
514	冥·黄金棍(特典)	1	5	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。经过进化后能力更强。	1100	100	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	5,6
515	天·黄金棍(典藏)	1	5	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。经过进化后能力更强。	1650	150	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	1,2
516	海·黄金棍(典藏)	1	5	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。经过进化后能力更强。	1650	150	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	3,4
517	冥·黄金棍(典藏)	1	5	看似普通的棍子实则纯金打造，拥有无比强大的导电性，神罚之棍。经过进化后能力更强。	1650	150	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	1	5,6
518	勾玉转轮(特典)	3	1	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	580	45.6	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	none
519	进化勾玉转轮(特典)	3	5	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	980	85.6	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	none
520	勾玉转轮(典藏)	3	1	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	870	68.4	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	none
521	进化勾玉转轮(典藏)	3	5	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	1470	128.4	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	none
522	天·勾玉转轮(特典)	3	5	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	1380	125.6	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	1,2
523	海·勾玉转轮(特典)	3	5	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	1380	125.6	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	3,4
524	冥·勾玉转轮(特典)	3	5	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	1380	125.6	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	5,6
525	天·勾玉转轮(典藏)	3	5	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	2070	188.4	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	1,2
526	海·勾玉转轮(典藏)	3	5	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	2070	188.4	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	3,4
527	冥·勾玉转轮(典藏)	3	5	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	2070	188.4	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	12	5,6
528	拿破仑	2	1	雕刻着骷髅头的礼帽，暗藏玄机，可化为一把刀，蕴藏着撕裂天空的恐怖的力量。	105	9.2	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	none
529	进化拿破仑	2	5	雕刻着骷髅头的礼帽，暗藏玄机，可化为一把刀，蕴藏着撕裂天空的恐怖的力量。进化后能力更强。	255	24.2	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	none
530	天·拿破仑	2	5	经上古天王结晶熔炼而成的拿破仑，穿戴2件以上天王套装将触发天王套装效果。	455	44.2	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	1,2
531	海·拿破仑	2	5	经上古海王结晶熔炼而成的拿破仑，穿戴2件以上海王套装将触发海王套装效果。	455	44.2	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	3,4
532	冥·拿破仑	2	5	经上古冥王结晶熔炼而成的拿破仑，穿戴2件以上冥王套装将触发冥王套装效果。	455	44.2	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	5,6
533	拿破仑(特典)	2	1	雕刻着骷髅头的礼帽，暗藏玄机，可化为一把刀，蕴藏着撕裂天空的恐怖的力量。	210	18.4	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	none
534	进化拿破仑(特典)	2	5	雕刻着骷髅头的礼帽，暗藏玄机，可化为一把刀，蕴藏着撕裂天空的恐怖的力量。进化后能力更强。	510	48.4	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	none
535	天·拿破仑(特典)	2	5	经上古天王结晶熔炼而成的拿破仑，穿戴2件以上天王套装将触发天王套装效果。	910	88.4	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	1,2
536	海·拿破仑(特典)	2	5	经上古海王结晶熔炼而成的拿破仑，穿戴2件以上海王套装将触发海王套装效果。	910	88.4	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	3,4
537	冥·拿破仑(特典)	2	5	经上古冥王结晶熔炼而成的拿破仑，穿戴2件以上天王套装将触发冥王套装效果。	910	88.4	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	none
538	拿破仑(典藏)	2	1	雕刻着骷髅头的礼帽，暗藏玄机，可化为一把刀，蕴藏着撕裂天空的恐怖的力量。	315	27.6	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	5,6
539	进化拿破仑(典藏)	2	5	雕刻着骷髅头的礼帽，暗藏玄机，可化为一把刀，蕴藏着撕裂天空的恐怖的力量。进化后能力更强。	765	72.6	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	none
540	天·拿破仑(典藏)	2	5	经上古天王结晶熔炼而成的拿破仑，穿戴2件以上天王套装将触发天王套装效果。		1365	132.6	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	1,2
541	海·拿破仑(典藏)	2	5	经上古海王结晶熔炼而成的拿破仑，穿戴2件以上海王套装将触发海王套装效果。		1365	132.6	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	3,4
542	冥·拿破仑(典藏)	2	5	经上古冥王结晶熔炼而成的拿破仑，穿戴2件以上冥王套装将触发冥王套装效果。		1365	132.6	equipposter/poster_clothes_napolun.png	equipposter/poster_clothes_napolun.png	equiptex/tex_weapon_napolun.png	1	5,6

543	永恒指针	3	1	娜美的永恒指针，可以记录到过的岛屿，是成为出色航海士的证明。	300	25	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	none
544	进化永恒指针	3	5	娜美的永恒指针，可以记录到过的岛屿，是成为出色航海士的证明。进化后能力更强。	500	45	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	none
545	天·永恒指针	3	5	经上古天王结晶熔炼而成的永恒指针，穿戴2件以上天王套装将触发天王套装效果。	700	65	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	1,2
546	海·永恒指针	3	5	经上古海王结晶熔炼而成的永恒指针，穿戴2件以上海王套装将触发海王套装效果。	700	65	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	3,4
547	冥·永恒指针	3	5	经上古冥王结晶熔炼而成的永恒指针，穿戴2件以上冥王套装将触发冥王套装效果。	700	65	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	5,6
548	永恒指针(特典)	3	1	娜美的永恒指针，可以记录到过的岛屿，是成为出色航海士的证明。	600	50	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	none
549	进化永恒指针(特典)	3	5	娜美的永恒指针，可以记录到过的岛屿，是成为出色航海士的证明。进化后能力更强。	1000	90	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	none
550	天·永恒指针(特典)	3	5	经上古天王结晶熔炼而成的永恒指针，穿戴2件以上天王套装将触发天王套装效果。	1400	130	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	1,2
551	海·永恒指针(特典)	3	5	经上古海王结晶熔炼而成的永恒指针，穿戴2件以上海王套装将触发海王套装效果。	1400	130	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	3,4
552	冥·永恒指针(特典)	3	5	经上古冥王结晶熔炼而成的永恒指针，穿戴2件以上冥王套装将触发冥王套装效果。	1400	130	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	5,6
553	永恒指针(典藏)	3	1	娜美的永恒指针，可以记录到过的岛屿，是成为出色航海士的证明。	900	70	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	none
554	进化永恒指针(典藏)	3	5	娜美的永恒指针，可以记录到过的岛屿，是成为出色航海士的证明。进化后能力更强。	1500	135	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	none
555	天·永恒指针(典藏)	3	5	经上古天王结晶熔炼而成的永恒指针，穿戴2件以上天王套装将触发天王套装效果。	2100	195	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	1,2
556	海·永恒指针(典藏)	3	5	经上古海王结晶熔炼而成的永恒指针，穿戴2件以上海王套装将触发海王套装效果。	2100	195	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	3,4
557	冥·永恒指针(典藏)	3	5	经上古冥王结晶熔炼而成的永恒指针，穿戴2件以上冥王套装将触发冥王套装效果。	2100	195	equipposter/poster_weapon_yonghengzhizhen.png	equipposter/poster_weapon_yonghengzhizhen.png	equiptex/tex_weapon_yonghengzhizhen.png	1	5,6

558	三叉戟·土龙	1	1	玄铁制成的三叉戟，名为“土龙”，其穿透力可以击破海上第五皇帝的“四档”。	200	15	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	none
559	进化三叉戟·土龙	1	5	玄铁制成的三叉戟，名为“土龙”，其穿透力可以击破海上第五皇帝的“四档”。进化后能力更强。	350	30	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	none
560	天·土龙	1	5	经上古天王结晶熔炼而成的三叉戟·土龙，穿戴2件以上天王套装将触发天王套装效果。	550	50	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	1,2
561	海·土龙	1	5	经上古海王结晶熔炼而成的三叉戟·土龙，穿戴2件以上海王套装将触发海王套装效果。	550	50	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	3,4
562	冥·土龙	1	5	经上古冥王结晶熔炼而成的三叉戟·土龙，穿戴2件以上冥王套装将触发冥王套装效果。	550	50	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	5,6
563	土龙(特典)	1	1	玄铁制成的三叉戟，名为“土龙”，其穿透力可以击破海上第五皇帝的“四档”。	400	30	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	none
564	进化土龙(特典)	1	5	玄铁制成的三叉戟，名为“土龙”，其穿透力可以击破海上第五皇帝的“四档”。进化后能力更强。	700	60	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	none
565	天·土龙(特典)	1	5	经上古天王结晶熔炼而成的三叉戟·土龙，穿戴2件以上天王套装将触发天王套装效果。	1100	100	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	1,2
566	海·土龙(特典)	1	5	经上古海王结晶熔炼而成的三叉戟·土龙，穿戴2件以上海王套装将触发海王套装效果。	1100	100	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	3,4
567	冥·土龙(特典)	1	5	经上古冥王结晶熔炼而成的三叉戟·土龙，穿戴2件以上冥王套装将触发冥王套装效果。	1100	100	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	5,6
568	土龙(典藏)	1	1	玄铁制成的三叉戟，名为“土龙”，其穿透力可以击破海上第五皇帝的“四档”。	600	45	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	none
569	进化土龙(典藏)	1	5	玄铁制成的三叉戟，名为“土龙”，其穿透力可以击破海上第五皇帝的“四档”。进化后能力更强。	1050	90	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	none
570	天·土龙(典藏)	1	5	经上古天王结晶熔炼而成的三叉戟·土龙，穿戴2件以上天王套装将触发天王套装效果。	1650	150	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	1,2
571	海·土龙(典藏)	1	5	经上古海王结晶熔炼而成的三叉戟·土龙，穿戴2件以上海王套装将触发海王套装效果。	1650	150	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	3,4
572	冥·土龙(典藏)	1	5	经上古冥王结晶熔炼而成的三叉戟·土龙，穿戴2件以上冥王套装将触发冥王套装效果。	1650	150	equipposter/poster_weapon_tulong.png	equipposter/poster_weapon_tulong.png	equiptex/tex_weapon_tulong.png	1	5,6

573	重力杖刀	1	1	海军大将藤虎所使用的杖刀，锋利无比，可以击落天空之上的陨石。	200	15	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	none
574	进化重力杖刀	1	5	海军大将藤虎所使用的杖刀，锋利无比，可以击落天空之上的陨石。进化后能力更强。	350	30	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	none
575	天·杖刀	1	5	经上古天王结晶熔炼而成的杖刀，穿戴2件以上天王套装将触发天王套装效果。	550	50	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	1,2
576	海·杖刀	1	5	经上古海王结晶熔炼而成的杖刀，穿戴2件以上海王套装将触发海王套装效果。	550	50	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	3,4
577	冥·杖刀	1	5	经上古冥王结晶熔炼而成的杖刀，穿戴2件以上冥王套装将触发冥王套装效果。	550	50	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	5,6
578	杖刀(特典)	1	1	海军大将藤虎所使用的杖刀，锋利无比，可以击落天空之上的陨石。	400	30	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	none
579	进化杖刀(特典)	1	5	海军大将藤虎所使用的杖刀，锋利无比，可以击落天空之上的陨石。进化后能力更强。	700	60	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	none
580	天·杖刀(特典)	1	5	经上古天王结晶熔炼而成的杖刀，穿戴2件以上天王套装将触发天王套装效果。	1100	100	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	1,2
581	海·杖刀(特典)	1	5	经上古海王结晶熔炼而成的杖刀，穿戴2件以上海王套装将触发海王套装效果。	1100	100	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	3,4
